Ux_top [mm],Uy_top left   [mm],Uy_top right [mm],Uy_top_mid [mm],Rot      [rad],Fx_top [kN],Fy_top [kN],M_top [kNm],Unnamed: 8,h [mm],l [mm],Estimated Time (s)
-0.010742,-0.08389611532001155,-0.03740024331863275,-0.06064817931932215,1.859834880055152e-05,3.3231,55.833,-7.0008000000000035,,,,745.945945945946
-0.011502,-0.08640603320798955,-0.03781524045679275,-0.06211063683239115,1.943631710047872e-05,3.3001,56.305,-6.952799999999996,,,,754.0540540540541
-0.010782,-0.0879844749430656,-0.0383997283383048,-0.0631921016406852,1.983389864190432e-05,3.3121,56.851,-6.8232,,,,762.1621621621622
-0.0097353,-0.08976540733235541,-0.03876621838690876,-0.0642658128596321,2.039967557817866e-05,3.2911,57.268,-6.768000000000001,,,,770.2702702702703
-0.0092561,-0.09081736751692523,-0.039086211584181,-0.06495178955055311,2.0692462373097696e-05,3.3091,57.795,-6.674399999999997,,,,778.3783783783784
-0.01131,-0.0920163321207552,-0.0397617093798912,-0.0658890207503232,2.09018490963456e-05,3.2861,58.255,-6.650400000000002,,,,786.4864864864866
-0.012882,-0.09290680679131036,-0.040232709450327,-0.06656975812081868,2.1069638936393344e-05,3.3181,58.814,-6.7055999999999925,,,,794.5945945945947
-0.014648,-0.09425976586670434,-0.04074771083288,-0.06750373834979218,2.1404822013529738e-05,3.3161,59.303,-6.789600000000001,,,,802.7027027027028
-0.015216,-0.09505023932879039,-0.04122420641345115,-0.06813722287112077,2.15304131661357e-05,3.3531,59.872,-6.921600000000001,,,,810.8108108108108
-0.014123,-0.09614369110039174,-0.04153219490211455,-0.06883794300125315,2.1844598479310875e-05,3.3361,60.364000000000004,-6.916800000000003,,,,818.918918918919
-0.013882,-0.096565173504887,-0.041901187394844344,-0.06923318044986568,2.1865594444017063e-05,3.358,60.93,-6.840000000000003,,,,827.0270270270271
-0.014361,-0.09744964188869375,-0.042314183144282154,-0.06988191251648795,2.2054183497764637e-05,3.3291,61.316,-6.878399999999999,,,,835.1351351351352
-0.01517,-0.0976621383744008,-0.0427366807355462,-0.0701994095549735,2.197018305554184e-05,3.359,61.82599999999999,-6.892799999999991,,,,843.2432432432433
-0.016217,-0.09849961208911734,-0.04305018192910775,-0.07077489700911255,2.2179772064003836e-05,3.3321,62.262,-6.854399999999996,,,,851.3513513513515
-0.01759,-0.09882160866478956,-0.0435826819860422,-0.07120214532541588,2.2095570671498945e-05,3.366,62.821000000000005,-6.876000000000005,,,,859.4594594594595
-0.019119,-0.10002057220713095,-0.043890687823256,-0.07195563001519348,2.245195375354998e-05,3.3451,63.286,-6.921600000000001,,,,867.5675675675676
-0.019727,-0.10050355755979974,-0.04405918958299775,-0.07228137357139874,2.2577747190720796e-05,3.379,63.83,-6.998399999999992,,,,875.6756756756757
-0.020734,-0.10159552156934996,-0.044420691334703,-0.07300810645202649,2.2869932093858786e-05,3.367,64.3,-7.084799999999995,,,,883.7837837837839
-0.021582,-0.10244299416093981,-0.0446906936994486,-0.0735668439301942,2.3100920184596485e-05,3.391,64.871,-7.077599999999995,,,,891.891891891892
-0.021582,-0.10343795318982481,-0.045005688048537607,-0.0742218206191812,2.337290605651488e-05,3.373,65.342,-7.084799999999995,,,,900.0000000000001
-0.021866,-0.1044829122013462,-0.0454796819383112,-0.0749812970698287,2.3601292105214e-05,3.395,65.872,-7.113599999999996,,,,908.1081081081081
-0.022107,-0.10574286134288481,-0.045581682200144996,-0.07566227177151491,2.4064471657095926e-05,3.379,66.31200000000001,-7.147200000000003,,,,916.2162162162163
