time_s,max_opening_m
4.4250,8.44099958e-04
4.4300,8.44505110e-04
4.4350,8.45201766e-04
4.4400,8.46052229e-04
4.4450,8.46947549e-04
4.4500,8.47718811e-04
4.4550,8.48343930e-04
4.4600,8.48868899e-04
4.4650,8.49344314e-04
4.4700,8.49791453e-04
4.4750,8.50157938e-04
4.4800,8.50296426e-04
4.4850,8.50138039e-04
4.4900,8.49627057e-04
4.4950,8.48805211e-04
4.5000,8.47833293e-04
4.5050,8.46855172e-04
4.5100,8.46133805e-04
4.5150,8.45730341e-04
4.5200,8.45629440e-04
4.5250,8.45733846e-04
4.5300,8.45867838e-04
4.5350,8.45991388e-04
4.5400,8.46139485e-04
4.5450,8.46404054e-04
4.5500,8.46966478e-04
4.5550,8.47891125e-04
4.5600,8.49170922e-04
4.5650,8.50679466e-04
4.5700,8.52089536e-04
4.5750,8.53222893e-04
4.5800,8.53838508e-04
4.5850,8.53914659e-04
4.5900,8.53483757e-04
4.5950,8.52599653e-04
4.6000,8.51345318e-04
4.6050,8.49761470e-04
4.6100,8.47957796e-04
4.6150,8.46022333e-04
4.6200,8.44183649e-04
4.6250,8.42575319e-04
4.6300,8.41405477e-04
4.6350,8.40695351e-04
4.6400,8.40338413e-04
4.6450,8.40197985e-04
4.6500,8.40055709e-04
4.6550,8.39887485e-04
4.6600,8.39801208e-04
4.6650,8.39947646e-04
4.6700,8.40577734e-04
4.6750,8.41727566e-04
4.6800,8.43297259e-04
4.6850,8.45110725e-04
4.6900,8.46782002e-04
4.6950,8.48138042e-04
4.7000,8.48990408e-04
4.7050,8.49380704e-04
4.7100,8.49492706e-04
4.7150,8.49459944e-04
4.7200,8.49468810e-04
4.7250,8.49531226e-04
4.7300,8.49582185e-04
4.7350,8.49535723e-04
4.7400,8.49258671e-04
4.7450,8.48741069e-04
4.7500,8.48069932e-04
4.7550,8.47372197e-04
4.7600,8.46889414e-04
4.7650,8.46692417e-04
4.7700,8.46791819e-04
4.7750,8.47094237e-04
4.7800,8.47382925e-04
4.7850,8.47557818e-04
4.7900,8.47526256e-04
4.7950,8.47333380e-04
4.8000,8.47156980e-04
4.8050,8.47127881e-04
4.8100,8.47416825e-04
4.8150,8.48007811e-04
4.8200,8.48727577e-04
4.8250,8.49417465e-04
4.8300,8.49828705e-04
4.8350,8.49920926e-04
4.8400,8.49756475e-04
4.8450,8.49444536e-04
4.8500,8.49186142e-04
4.8550,8.49028919e-04
4.8600,8.48940198e-04
4.8650,8.48815434e-04
4.8700,8.48448884e-04
4.8750,8.47800330e-04
4.8800,8.46936191e-04
4.8850,8.45975015e-04
4.8900,8.45112273e-04
4.8950,8.44371799e-04
4.9000,8.43690368e-04
4.9050,8.42989650e-04
4.9100,8.42180125e-04
4.9150,8.41284001e-04
4.9200,8.40423613e-04
4.9250,8.39703577e-04
4.9300,8.39296797e-04
4.9350,8.39239737e-04
4.9400,8.39525142e-04
4.9450,8.40098766e-04
4.9500,8.40872618e-04
4.9550,8.41828331e-04
4.9600,8.42940015e-04
4.9650,8.44173355e-04
4.9700,8.45381383e-04
4.9750,8.46449805e-04
4.9800,8.47195976e-04
